Age,Gender,MonthlyIncome,Department,NumCompaniesWorked,Over18,Workingfromhome,BusinessTravel,DistanceFromHome,StandardHours,JobSatisfaction,Complaintfiled,ComplaintResolved,ComplaintYears,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Left
42,Male,Low,Research & Development,6,Yes,No,Frequently,19,40,3,Yes,Yes,2,12,2,7,2,2,Yes
35,Male,Low,Research & Development,1,Yes,Yes,Rarely,1,40,3,No,,,18,4,6,6,0,No
34,Male,Medium,Research & Development,1,Yes,No,Frequently,10,40,4,No,,,13,2,9,9,7,No
39,Female,Medium,Sales,6,Yes,Yes,None,21,40,3,Yes,Yes,2,19,4,10,3,1,No
33,Male,High,Research & Development,0,Yes,Yes,Rarely,7,40,3,No,,,11,1,14,13,3,No
28,Female,Medium,Research & Development,0,Yes,No,None,1,40,4,Yes,No,0,11,1,10,9,7,No
53,Male,High,Research & Development,3,Yes,Yes,Rarely,7,40,3,Yes,Yes,1,19,4,32,5,1,No
31,Male,High,Sales,9,Yes,No,Rarely,7,40,4,No,,,21,5,10,5,0,No
32,Male,Low,Research & Development,1,Yes,No,Rarely,2,40,2,No,,,12,1,1,1,0,Yes
27,Male,High,Sales,1,Yes,Yes,Frequently,8,40,3,Yes,Yes,0,15,3,9,9,1,No
35,Male,Medium,Research & Development,9,Yes,No,Rarely,9,40,2,No,,,19,4,10,1,0,No
50,Female,Medium,Sales,0,Yes,No,None,1,40,3,Yes,Yes,2,12,2,19,18,0,No
33,Female,High,Research & Development,1,Yes,Yes,Frequently,1,40,4,No,,,12,2,15,15,8,No
28,Male,Medium,Sales,1,Yes,Yes,Rarely,26,40,1,No,,,11,1,5,5,0,No
23,Male,Low,Research & Development,2,Yes,Yes,Rarely,10,40,3,Yes,Yes,2,16,4,4,2,2,No
47,Male,Medium,Sales,7,Yes,Yes,None,2,40,2,No,,,11,1,4,1,0,No
32,Female,Low,Research & Development,3,Yes,Yes,Rarely,5,40,4,No,,,17,4,6,3,0,No
37,Male,Medium,Research & Development,5,Yes,Yes,None,2,40,4,No,,,14,2,17,1,0,No
29,Female,Low,Research & Development,6,Yes,No,Rarely,7,40,4,No,,,14,3,8,4,0,No
48,Male,Low,Research & Development,4,Yes,No,Rarely,20,40,3,No,,,17,4,13,0,0,No
50,Male,High,Sales,4,Yes,Yes,Rarely,28,40,1,No,,,13,2,20,3,2,Yes
31,Male,Low,Research & Development,1,Yes,No,Rarely,1,40,1,No,,,12,2,4,4,3,No
29,Male,High,Research & Development,1,Yes,Yes,Rarely,3,40,3,No,,,18,4,10,10,0,No
47,Female,High,Research & Development,8,Yes,Yes,Rarely,4,40,2,No,,,12,1,28,22,14,No
39,Female,Medium,Research & Development,4,Yes,No,Rarely,6,40,2,No,,,18,4,9,2,2,No
34,Female,Low,Human Resources,1,Yes,No,Rarely,9,40,3,No,,,15,3,2,2,2,Yes
50,Male,Medium,Research & Development,2,Yes,No,Rarely,1,40,3,No,,,15,3,5,3,0,No
42,Male,High,Research & Development,8,Yes,Yes,Rarely,9,40,4,Yes,No,,22,5,24,1,0,No
28,Male,Medium,Sales,1,Yes,Yes,Rarely,9,40,4,No,,,16,4,7,7,0,No
33,Female,Medium,Research & Development,0,Yes,Yes,Rarely,1,40,4,No,,,14,3,6,5,1,No
39,Female,High,Sales,0,Yes,Yes,Rarely,24,40,4,No,,,11,1,21,20,9,No
58,Male,High,Sales,0,Yes,Yes,Rarely,10,40,3,Yes,No,2,13,2,38,37,1,No
37,Male,Medium,Research & Development,5,Yes,No,Rarely,7,40,1,Yes,No,1,22,5,16,5,0,No
32,Male,Medium,Sales,1,Yes,No,Frequently,5,40,2,No,,,14,3,10,10,5,No
29,Male,Low,Research & Development,3,Yes,Yes,Rarely,7,40,1,No,,,14,3,11,3,1,No
46,Female,High,Sales,2,Yes,Yes,Rarely,10,40,4,No,,,19,5,15,3,1,No
25,Male,Medium,Sales,2,Yes,No,Rarely,18,40,3,No,,,11,1,6,3,1,No
31,Female,Medium,Research & Development,1,Yes,Yes,Frequently,3,40,3,No,,,12,2,7,7,7,Yes
37,Female,Medium,Research & Development,4,Yes,No,Rarely,11,40,3,No,,,18,4,8,3,0,No
49,Female,Medium,Sales,3,Yes,No,Rarely,11,40,4,No,,,12,2,8,5,0,No
45,Male,High,Sales,4,Yes,No,Rarely,9,40,1,No,,,12,1,18,5,0,No
35,Male,Medium,Sales,6,Yes,No,Rarely,3,40,4,No,,,13,2,12,10,0,No
46,Female,Low,Human Resources,6,Yes,No,Rarely,1,40,1,Yes,Yes,0,12,1,10,7,5,No
43,Female,Medium,Research & Development,1,Yes,Yes,Rarely,6,40,3,No,,,14,3,20,20,1,No
31,Female,Medium,Research & Development,2,Yes,Yes,Frequently,24,40,4,No,,,12,5,9,5,1,Yes
47,Female,Low,Research & Development,4,Yes,No,Rarely,9,40,3,No,,,12,2,7,2,2,No
29,Female,Medium,Research & Development,1,Yes,Yes,Rarely,28,40,1,No,,,14,3,5,5,0,No
44,Male,Low,Research & Development,1,Yes,Yes,Rarely,20,40,2,No,,,13,2,6,5,1,No
36,Male,Medium,Research & Development,8,Yes,No,Rarely,5,40,2,No,,,16,3,16,13,3,No
28,Male,Low,Research & Development,1,Yes,No,Rarely,21,40,4,No,,,11,1,5,5,0,No
37,Male,Medium,Research & Development,3,Yes,No,Rarely,19,40,3,No,,,17,4,9,4,0,No
42,Male,Medium,Research & Development,4,Yes,No,Rarely,8,40,3,Yes,No,,13,2,8,0,0,No
28,Female,Medium,Research & Development,3,Yes,No,Rarely,10,40,3,No,,,13,2,10,8,1,No
39,Male,High,Research & Development,1,Yes,Yes,Rarely,10,40,1,Yes,Yes,0,14,3,21,21,11,No
31,Female,Medium,Research & Development,1,Yes,No,Rarely,7,40,4,No,,,14,3,11,11,4,No
32,Female,Medium,Research & Development,1,Yes,No,Rarely,9,40,4,No,,,12,2,6,6,0,No
29,Male,Low,Research & Development,6,Yes,No,Rarely,9,40,3,No,,,18,4,5,1,0,No
31,Male,Medium,Sales,2,Yes,Yes,Rarely,16,40,3,No,,,13,2,10,1,0,Yes
40,Male,Medium,Sales,5,Yes,Yes,Frequently,2,40,2,No,,,12,1,5,0,0,No
39,Male,Medium,Research & Development,0,Yes,No,Rarely,23,40,1,No,,,13,2,6,5,0,Yes
35,Male,Low,Research & Development,0,Yes,Yes,Rarely,23,40,3,No,,,16,3,6,5,0,No
35,Female,Medium,Research & Development,5,Yes,Yes,Frequently,2,40,2,No,,,11,1,10,6,1,No
42,Male,Low,Research & Development,4,Yes,No,Frequently,5,40,3,No,,,17,4,8,2,2,No
29,Male,Low,Human Resources,1,Yes,Yes,Rarely,6,40,2,No,,,11,1,1,1,0,No
52,Female,Low,Research & Development,9,Yes,No,Rarely,8,40,1,No,,,13,2,12,5,0,No
49,Male,Medium,Research & Development,1,Yes,No,None,18,40,4,No,,,15,3,7,7,1,No
26,Female,Low,Research & Development,1,Yes,No,Rarely,1,40,3,No,,,13,2,1,1,1,No
41,Female,High,Sales,0,Yes,Yes,Rarely,4,40,3,No,,,13,2,23,22,13,No
59,Female,Medium,Sales,7,Yes,No,Rarely,25,40,1,No,,,11,1,28,21,7,No
40,Male,High,Research & Development,2,Yes,Yes,Rarely,1,40,1,No,,,11,1,22,19,11,No
19,Male,Low,Sales,1,Yes,Yes,Rarely,21,40,2,Yes,Yes,0,13,2,1,1,0,Yes
36,Male,Low,Research & Development,1,Yes,No,None,9,40,2,No,,,22,5,5,5,0,No
38,Female,High,Research & Development,3,Yes,No,Rarely,25,40,2,No,,,17,4,19,10,0,No
24,Male,Low,Research & Development,0,Yes,No,None,4,40,4,Yes,No,1,17,4,6,5,3,No
30,Male,Low,Sales,1,Yes,Yes,Rarely,2,40,2,No,,,18,4,1,1,0,No
21,Female,Low,Research & Development,1,Yes,No,Rarely,1,40,2,No,,,11,1,2,2,2,No
29,Male,High,Research & Development,1,Yes,No,Frequently,2,40,4,No,,,19,5,6,6,1,No
27,Male,Medium,Sales,3,Yes,No,Frequently,2,40,4,No,,,20,5,8,6,0,No
43,Female,Low,Research & Development,0,Yes,No,Frequently,10,40,4,No,,,19,4,9,8,1,No
55,Male,High,Human Resources,4,Yes,Yes,Rarely,26,40,2,Yes,No,1,18,4,35,10,1,No
45,Female,High,Sales,3,Yes,Yes,Rarely,11,40,4,No,,,13,2,26,9,1,No
43,Male,Medium,Sales,1,Yes,No,Frequently,2,40,4,No,,,20,5,7,7,7,No
46,Male,Medium,Sales,4,Yes,Yes,Frequently,5,40,4,Yes,Yes,1,21,5,14,9,0,No
32,Male,Medium,Sales,0,Yes,Yes,Frequently,9,40,4,No,,,17,4,9,8,0,No
33,Male,High,Sales,1,Yes,Yes,None,17,40,3,No,,,11,1,10,10,6,No
29,Female,Medium,Research & Development,0,Yes,No,Rarely,15,40,3,No,,,12,2,10,9,0,No
49,Female,Medium,Research & Development,2,Yes,No,Rarely,1,40,1,No,,,16,3,7,4,0,No
49,Female,Medium,Research & Development,4,Yes,No,Rarely,8,40,2,No,,,11,1,29,26,1,No
21,Male,Low,Research & Development,1,Yes,No,Rarely,5,40,4,No,,,18,4,3,2,2,No
41,Female,Low,Sales,1,Yes,Yes,Rarely,20,40,2,No,,,22,5,4,4,0,Yes
58,Female,High,Research & Development,7,Yes,No,Rarely,7,40,1,No,,,14,3,31,10,5,Yes
26,Male,Medium,Research & Development,1,Yes,Yes,Rarely,1,40,1,Yes,Yes,0,16,3,6,5,1,No
35,Male,High,Research & Development,2,Yes,No,Frequently,18,40,4,No,,,11,1,10,2,2,No
46,Male,High,Research & Development,6,Yes,Yes,Rarely,2,40,3,No,,,13,2,26,3,0,No
55,Male,High,Research & Development,8,Yes,No,Rarely,14,40,2,No,,,11,1,36,24,2,No
41,Female,High,Research & Development,1,Yes,Yes,None,7,40,3,No,,,22,5,21,21,5,No
32,Male,Medium,Sales,6,Yes,No,Rarely,1,40,2,No,,,15,3,10,0,0,Yes
34,Female,Low,Research & Development,2,Yes,No,Rarely,1,40,4,No,,,16,3,10,4,1,No
44,Male,Medium,Research & Development,9,Yes,No,Rarely,4,40,2,No,,,12,2,10,5,2,No
34,Male,Low,Research & Development,1,Yes,No,Rarely,10,40,2,No,,,14,2,1,1,1,No
35,Male,Medium,Human Resources,1,Yes,Yes,Rarely,8,40,3,No,,,17,4,6,5,1,No
24,Female,Medium,Sales,9,Yes,No,Rarely,3,40,3,Yes,No,,14,2,4,2,2,Yes
31,Female,Low,Sales,7,Yes,Yes,Frequently,2,40,4,No,,,14,3,3,1,0,Yes
30,Female,Medium,Sales,7,Yes,Yes,Rarely,7,40,1,No,,,14,3,8,3,0,No
36,Male,Medium,Research & Development,4,Yes,No,Rarely,3,40,2,No,,,12,1,10,8,7,No
56,Male,High,Research & Development,7,Yes,No,Rarely,9,40,4,No,,,11,1,30,10,1,No
34,Female,Low,Research & Development,5,Yes,Yes,Rarely,1,40,2,No,,,17,4,7,5,0,No
28,Female,Medium,Sales,1,Yes,Yes,Rarely,2,40,2,No,,,20,5,8,8,7,No
42,Male,Medium,Sales,0,Yes,Yes,Rarely,8,40,2,No,,,11,1,10,9,4,No
34,Male,Medium,Research & Development,1,Yes,Yes,Rarely,1,40,2,Yes,Yes,2,15,3,5,5,1,No
52,Female,Low,Research & Development,8,Yes,No,Rarely,11,40,3,Yes,Yes,0,20,5,9,5,1,No
24,Male,Low,Research & Development,2,Yes,No,Frequently,9,40,1,No,,,11,1,4,0,0,Yes
27,Female,High,Sales,1,Yes,Yes,Frequently,20,40,3,No,,,14,3,7,7,0,No
36,Female,Medium,Research & Development,7,Yes,No,Frequently,4,40,2,No,,,13,2,18,4,0,No
37,Male,High,Research & Development,4,Yes,Yes,Rarely,7,40,3,No,,,13,2,16,5,0,No
44,Male,Medium,Research & Development,2,Yes,No,None,24,40,3,No,,,14,3,9,5,1,No
27,Female,Medium,Sales,1,Yes,Yes,Rarely,10,40,4,No,,,11,1,6,6,4,No
30,Male,Medium,Research & Development,1,Yes,No,Rarely,1,40,2,Yes,No,1,13,2,12,12,1,No
41,Male,Medium,Sales,1,Yes,Yes,None,10,40,2,No,,,13,2,19,19,11,No
47,Female,High,Research & Development,0,Yes,No,None,1,40,2,No,,,18,4,14,13,5,No
18,Male,Low,Research & Development,1,Yes,Yes,Rarely,3,40,3,Yes,Yes,,13,2,0,0,0,Yes
25,Male,Low,Research & Development,1,Yes,No,Rarely,7,40,4,No,,,11,1,2,2,2,No
29,Male,Medium,Sales,1,Yes,Yes,None,2,40,3,No,,,14,3,4,4,0,No
33,Female,Low,Research & Development,3,Yes,Yes,Rarely,13,40,4,No,,,18,4,5,3,0,No
48,Male,Medium,Research & Development,2,Yes,Yes,Rarely,6,40,3,Yes,Yes,2,13,2,19,2,2,No
32,Male,Low,Research & Development,6,Yes,No,Frequently,10,40,3,No,,,13,2,10,5,1,No
32,Female,Low,Research & Development,1,Yes,No,Frequently,13,40,2,No,,,20,5,2,2,2,No
27,Female,Medium,Research & Development,1,Yes,Yes,Rarely,1,40,1,No,,,11,1,9,9,0,No
36,Female,High,Sales,3,Yes,No,Rarely,3,40,2,Yes,Yes,0,16,4,15,5,0,No
28,Male,Low,Research & Development,1,Yes,No,Rarely,5,40,3,No,,,13,2,2,2,2,Yes
39,Female,Low,Research & Development,7,Yes,No,Rarely,1,40,3,Yes,Yes,0,14,3,7,3,1,No
43,Female,High,Sales,3,Yes,Yes,Rarely,4,40,4,No,,,14,2,23,21,15,No
24,Female,Medium,Research & Development,0,Yes,Yes,None,11,40,3,Yes,No,0,18,4,5,4,1,No
55,Male,High,Research & Development,8,Yes,No,Rarely,2,40,1,No,,,12,1,34,1,0,No
31,Male,High,Sales,1,Yes,No,Rarely,8,40,4,Yes,Yes,2,18,4,13,13,9,No
27,Male,Low,Research & Development,1,Yes,No,None,3,40,3,No,,,15,3,1,1,0,No
39,Male,Medium,Sales,2,Yes,No,Rarely,6,40,3,No,,,11,1,11,7,7,No
31,Male,High,Research & Development,0,Yes,No,None,5,40,1,No,,,19,5,10,9,1,No
46,Female,High,Research & Development,4,Yes,Yes,Rarely,21,40,2,No,,,22,5,13,9,3,Yes
35,Female,Medium,Sales,1,Yes,No,Rarely,18,40,3,No,,,16,4,5,5,1,No
38,Male,Medium,Research & Development,2,Yes,Yes,Frequently,12,40,1,Yes,Yes,1,15,3,13,4,1,No
30,Male,Low,Research & Development,1,Yes,No,Rarely,9,40,3,No,,,13,2,10,10,1,No
21,Female,Low,Research & Development,1,Yes,Yes,Frequently,10,40,3,No,,,20,5,2,2,2,Yes
24,Female,Medium,Research & Development,1,Yes,No,Frequently,2,40,4,No,,,13,2,6,6,1,No
37,Male,High,Sales,5,Yes,No,Rarely,1,40,3,No,,,11,1,17,14,11,Yes
56,Male,Low,Research & Development,8,Yes,Yes,Rarely,7,40,3,No,,,11,1,14,10,9,Yes
30,Female,Medium,Research & Development,7,Yes,No,None,9,40,3,Yes,No,2,18,4,10,8,1,No
29,Female,Low,Research & Development,9,Yes,Yes,Rarely,9,40,3,No,,,17,4,9,5,1,No
35,Male,Medium,Research & Development,1,Yes,Yes,Frequently,18,40,3,No,,,14,3,10,10,0,No
39,Female,Medium,Human Resources,9,Yes,No,Rarely,3,40,2,No,,,15,3,12,8,3,No
22,Male,Low,Research & Development,1,Yes,No,Rarely,19,40,4,No,,,24,5,2,2,2,No
44,Female,Medium,Research & Development,1,Yes,Yes,Rarely,2,40,4,No,,,19,4,9,8,6,No
42,Male,Low,Research & Development,5,Yes,No,Frequently,2,40,4,No,,,14,3,8,2,2,No
27,Male,Low,Research & Development,1,Yes,No,None,3,40,4,No,,,11,1,0,0,0,No
42,Female,Medium,Research & Development,9,Yes,Yes,Rarely,1,40,4,No,,,13,2,8,4,0,No
55,Male,High,Research & Development,5,Yes,No,Rarely,2,40,1,No,,,13,2,24,5,1,Yes
41,Female,High,Research & Development,0,Yes,No,Rarely,28,40,2,No,,,23,5,21,20,0,No
31,Male,Low,Research & Development,3,Yes,No,Rarely,11,40,4,Yes,Yes,0,19,4,8,6,0,No
40,Male,Low,Research & Development,8,Yes,No,Rarely,19,40,4,No,,,15,3,15,7,3,No
31,Female,Low,Sales,1,Yes,Yes,Frequently,5,40,2,No,,,11,1,2,2,2,No
22,Male,Medium,Research & Development,6,Yes,No,Rarely,1,40,4,No,,,22,5,4,2,2,No
36,Male,Medium,Sales,5,Yes,Yes,Rarely,13,40,1,No,,,13,2,16,2,2,Yes
49,Female,High,Research & Development,9,Yes,No,Frequently,10,40,1,No,,,11,1,22,3,1,No
29,Female,Medium,Sales,1,Yes,No,Rarely,27,40,4,No,,,22,5,10,10,1,Yes
36,Female,Medium,Sales,2,Yes,No,Frequently,7,40,1,No,,,16,3,17,15,6,No
56,Male,High,Research & Development,4,Yes,No,Rarely,23,40,2,Yes,Yes,2,12,2,33,19,15,No
42,Male,High,Sales,6,Yes,Yes,Rarely,5,40,3,No,,,13,2,21,1,0,No
30,Female,Medium,Research & Development,2,Yes,No,Rarely,2,40,4,No,,,20,5,11,5,0,No
42,Female,Medium,Research & Development,1,Yes,No,Frequently,9,40,4,No,,,13,2,12,12,5,No
24,Female,Medium,Sales,0,Yes,Yes,Rarely,3,40,3,No,,,21,5,4,3,0,No
36,Male,Low,Research & Development,4,Yes,No,Rarely,2,40,3,No,,,21,5,16,11,3,No
30,Male,Low,Human Resources,0,Yes,No,Rarely,1,40,3,Yes,No,2,21,5,6,5,1,No
50,Female,High,Research & Development,3,Yes,No,Rarely,11,40,2,No,,,15,3,21,5,4,No
36,Female,Medium,Sales,3,Yes,No,Rarely,2,40,4,No,,,15,3,17,13,6,No
51,Female,High,Research & Development,2,Yes,No,Rarely,3,40,3,Yes,Yes,0,11,1,15,2,2,No
30,Female,High,Research & Development,1,Yes,Yes,Rarely,17,40,1,No,,,23,5,9,9,0,No
45,Male,Low,Research & Development,5,Yes,No,Rarely,29,40,4,No,,,13,2,9,6,0,No
34,Male,Medium,Sales,1,Yes,No,Rarely,1,40,3,No,,,14,3,10,10,8,No
26,Female,Low,Research & Development,1,Yes,No,Rarely,6,40,4,No,,,13,2,3,3,0,No
36,Male,Low,Sales,3,Yes,No,Rarely,2,40,4,No,,,21,5,7,3,1,No
32,Male,High,Research & Development,2,Yes,Yes,Rarely,10,40,4,No,,,25,5,10,5,0,No
59,Female,High,Human Resources,9,Yes,No,None,2,40,4,No,,,14,5,30,3,2,Yes
47,Male,Medium,Sales,2,Yes,No,Rarely,14,40,1,No,,,12,1,20,7,1,No
30,Male,Low,Research & Development,1,Yes,Yes,None,7,40,3,No,,,13,2,1,1,0,No
28,Female,Medium,Research & Development,0,Yes,Yes,Rarely,3,40,2,Yes,No,0,17,4,10,9,1,No
32,Male,Low,Research & Development,3,Yes,Yes,Rarely,6,40,3,No,,,20,5,8,5,1,No
26,Male,Medium,Sales,1,Yes,Yes,Rarely,28,40,2,No,,,20,5,6,5,1,No
31,Female,High,Sales,1,Yes,No,None,2,40,3,No,,,19,4,10,10,9,No
54,Female,High,Sales,6,Yes,No,Rarely,2,40,3,No,,,11,1,13,9,7,No
22,Female,Low,Research & Development,1,Yes,No,Rarely,8,40,1,No,,,17,4,1,1,0,Yes
32,Female,Low,Sales,1,Yes,No,None,2,40,1,No,,,12,1,1,1,0,No
35,Male,High,Sales,9,Yes,Yes,Rarely,10,40,1,No,,,17,4,15,13,6,Yes
44,Male,Medium,Human Resources,4,Yes,No,Frequently,1,40,4,No,,,11,1,14,10,0,No
35,Male,Low,Research & Development,7,Yes,No,Rarely,11,40,3,No,,,11,1,5,2,2,No
35,Female,Medium,Sales,0,Yes,No,Frequently,18,40,3,Yes,No,,18,4,5,4,3,Yes
29,Male,Medium,Research & Development,1,Yes,Yes,Rarely,7,40,4,No,,,11,1,6,6,1,No
33,Male,Medium,Research & Development,1,Yes,No,Frequently,7,40,3,Yes,Yes,0,20,5,9,9,2,No
32,Male,Medium,Research & Development,0,Yes,Yes,Rarely,1,40,3,No,,,14,3,4,3,1,Yes
34,Male,High,Research & Development,0,Yes,Yes,Rarely,9,40,4,No,,,11,1,10,9,1,No
50,Male,Medium,Sales,3,Yes,No,Frequently,8,40,3,Yes,Yes,1,14,3,18,4,1,Yes
31,Male,Medium,Sales,4,Yes,No,Rarely,7,40,4,No,,,11,1,10,8,7,No
33,Female,Medium,Sales,5,Yes,Yes,Rarely,16,40,1,No,,,15,3,6,3,0,Yes
31,Female,Medium,Research & Development,2,Yes,Yes,Frequently,24,40,4,No,,,20,5,9,5,1,No
28,Male,Low,Research & Development,1,Yes,Yes,Frequently,6,40,3,No,,,14,3,3,3,0,No
53,Female,High,Research & Development,6,Yes,No,Rarely,23,40,4,No,,,18,4,33,12,3,No
45,Female,High,Research & Development,3,Yes,Yes,Frequently,25,40,2,No,,,22,5,22,0,0,No
55,Female,High,Research & Development,2,Yes,No,Rarely,8,40,3,Yes,Yes,0,14,3,21,5,0,No
54,Male,Medium,Research & Development,3,Yes,No,Rarely,1,40,3,No,,,13,5,13,12,2,Yes
31,Male,Medium,Sales,1,Yes,No,Rarely,5,40,3,Yes,Yes,2,19,4,6,5,0,No
32,Male,Low,Research & Development,4,Yes,Yes,Rarely,2,40,1,No,,,13,2,9,6,0,No
31,Female,Medium,Research & Development,8,Yes,No,Rarely,12,40,4,Yes,Yes,1,23,5,7,4,0,No
26,Male,Medium,Sales,1,Yes,No,Frequently,1,40,1,No,,,12,1,7,7,0,No
21,Female,Low,Research & Development,1,Yes,No,Rarely,18,40,4,No,,,19,4,1,1,0,Yes
39,Female,Medium,Research & Development,1,Yes,Yes,Frequently,8,40,3,No,,,11,1,8,8,0,No
33,Male,Medium,Sales,0,Yes,Yes,Rarely,8,40,3,No,,,12,2,6,5,1,No
45,Female,Low,Research & Development,1,Yes,Yes,Rarely,2,40,3,Yes,Yes,0,14,3,1,1,0,No
35,Female,Low,Research & Development,1,Yes,No,Rarely,2,40,1,No,,,12,2,1,1,0,Yes
36,Male,Medium,Research & Development,6,Yes,Yes,Rarely,27,40,3,No,,,13,2,17,7,7,No
51,Female,Medium,Sales,4,Yes,No,Rarely,14,40,4,No,,,11,1,18,7,0,No
33,Male,Low,Human Resources,3,Yes,No,Rarely,3,40,2,No,,,11,1,7,4,0,No
34,Male,Medium,Sales,0,Yes,Yes,None,23,40,3,No,,,20,5,10,9,8,No
31,Female,Medium,Sales,1,Yes,Yes,Rarely,5,40,4,No,,,11,1,10,10,0,No
34,Male,Medium,Sales,3,Yes,No,Rarely,3,40,1,No,,,18,4,15,13,3,No
54,Female,High,Research & Development,7,Yes,No,Frequently,1,40,3,No,,,17,4,33,5,1,No
40,Female,Medium,Research & Development,6,Yes,No,Rarely,16,40,4,No,,,15,3,18,4,3,No
56,Female,Medium,Research & Development,9,Yes,No,Rarely,14,40,2,Yes,Yes,1,18,4,7,5,4,Yes
43,Male,High,Research & Development,6,Yes,No,Rarely,14,40,1,No,,,24,5,22,4,1,No
30,Female,Low,Research & Development,0,Yes,No,None,2,40,4,No,,,14,3,12,11,6,No
21,Male,Low,Sales,1,Yes,Yes,Rarely,7,40,2,No,,,13,2,1,1,1,Yes
38,Male,Medium,Research & Development,3,Yes,Yes,Rarely,29,40,4,Yes,Yes,0,18,4,9,7,1,No
31,Male,Medium,Sales,4,Yes,No,Rarely,2,40,4,Yes,Yes,2,13,2,10,6,0,No
40,Male,Medium,Research & Development,1,Yes,No,Rarely,2,40,4,No,,,13,2,9,9,8,No
29,Male,Low,Sales,1,Yes,No,Rarely,10,40,3,No,,,11,1,1,1,0,No
53,Female,High,Research & Development,4,Yes,No,Rarely,5,40,3,No,,,11,1,26,14,4,No
39,Female,Medium,Research & Development,0,Yes,No,Frequently,4,40,3,No,,,13,2,10,9,3,No
42,Male,High,Research & Development,0,Yes,No,None,2,40,3,No,,,13,2,21,20,2,No
27,Male,Low,Research & Development,1,Yes,Yes,Rarely,14,40,1,No,,,14,2,9,9,6,No
49,Female,High,Research & Development,7,Yes,Yes,Rarely,1,40,3,No,,,12,2,25,7,0,No
53,Female,High,Sales,2,Yes,No,Rarely,2,40,4,No,,,16,4,31,25,3,No
33,Male,Medium,Sales,3,Yes,No,Frequently,10,40,4,No,,,14,3,9,7,0,No
40,Male,Medium,Sales,2,Yes,No,Rarely,1,40,4,Yes,Yes,1,22,5,6,4,0,No
20,Male,Low,Research & Development,1,Yes,No,Rarely,4,40,1,No,,,19,5,1,1,0,Yes
57,Male,High,Research & Development,3,Yes,No,Rarely,24,40,4,No,,,16,4,12,5,1,No
34,Female,Medium,Research & Development,1,Yes,No,Rarely,2,40,1,No,,,11,1,6,6,1,No
37,Female,Medium,Research & Development,5,Yes,Yes,Rarely,11,40,2,Yes,Yes,0,15,3,15,1,0,Yes
27,Female,Medium,Research & Development,0,Yes,Yes,Frequently,15,40,1,Yes,Yes,0,19,4,8,7,7,No
39,Male,Medium,Research & Development,4,Yes,Yes,Rarely,12,40,2,Yes,Yes,1,21,5,7,5,1,No
28,Male,Low,Research & Development,1,Yes,No,Rarely,9,40,4,No,,,23,5,5,5,0,No
33,Male,Low,Research & Development,1,Yes,No,Frequently,3,40,1,Yes,No,3,11,1,10,10,9,Yes
39,Male,Medium,Research & Development,1,Yes,No,None,1,40,4,No,,,15,3,9,9,5,No
40,Female,Low,Research & Development,4,Yes,No,Rarely,2,40,1,No,,,17,4,7,4,0,No
59,Female,High,Research & Development,3,Yes,No,Rarely,2,40,4,No,,,13,2,30,5,4,No
44,Male,High,Research & Development,4,Yes,Yes,Rarely,3,40,4,No,,,12,1,26,2,0,No
36,Male,Medium,Research & Development,2,Yes,No,None,18,40,4,No,,,20,5,18,11,0,No
24,Male,Low,Human Resources,0,Yes,Yes,Frequently,10,40,4,No,,,14,3,3,2,2,No
22,Female,Medium,Research & Development,0,Yes,No,Rarely,3,40,3,No,,,19,4,4,3,0,Yes
36,Male,Medium,Research & Development,0,Yes,Yes,Rarely,14,40,4,No,,,17,4,17,16,4,No
41,Female,Medium,Research & Development,6,Yes,No,Rarely,7,40,3,No,,,14,3,8,2,2,No
41,Female,High,Sales,3,Yes,Yes,Rarely,6,40,4,No,,,18,4,16,1,0,No
27,Male,Low,Research & Development,2,Yes,Yes,Frequently,2,40,4,No,,,13,2,6,4,1,No
45,Male,Medium,Research & Development,4,Yes,Yes,Frequently,7,40,3,No,,,17,4,9,3,0,No
34,Female,Medium,Sales,5,Yes,No,Rarely,3,40,4,No,,,12,2,6,2,2,No
49,Male,Medium,Research & Development,1,Yes,Yes,Frequently,8,40,2,No,,,23,5,10,10,1,No
29,Female,Low,Sales,1,Yes,No,Frequently,20,40,4,No,,,15,3,3,3,0,No
29,Female,High,Research & Development,3,Yes,Yes,Rarely,8,40,1,No,,,13,2,9,7,0,No
37,Male,Low,Human Resources,4,Yes,Yes,Rarely,6,40,1,No,,,22,5,7,3,0,Yes
28,Male,Medium,Sales,1,Yes,No,Rarely,5,40,4,No,,,14,2,4,4,0,No
38,Male,Low,Research & Development,6,Yes,Yes,Rarely,2,40,3,No,,,13,2,6,1,0,No
36,Female,Medium,Research & Development,9,Yes,No,Rarely,2,40,2,No,,,11,1,18,16,5,No
33,Female,Low,Research & Development,1,Yes,No,Rarely,5,40,4,No,,,13,2,2,2,0,No
46,Female,Medium,Research & Development,2,Yes,Yes,None,7,40,3,Yes,Yes,0,14,3,7,1,0,No
40,Male,Low,Research & Development,2,Yes,Yes,Rarely,2,40,3,No,,,14,3,8,2,2,No
38,Male,Medium,Research & Development,9,Yes,No,Rarely,2,40,3,No,,,14,3,14,1,0,No
30,Male,Medium,Research & Development,1,Yes,Yes,Rarely,2,40,4,No,,,19,5,11,11,10,No
